Timestamp_ms,Sample_ID,Raw_Voltage,Filtered_Signal,Variance_Delta
8978,84,264.0,252.1,11.9
9079,85,187.0,244.5,-57.5
9182,86,203.0,246.1,-43.1
9284,87,217.0,247.7,-30.7
9387,88,227.0,248.7,-21.7
9488,89,277.0,253.7,23.3
9590,90,311.0,257.3,53.7
9693,91,294.0,255.3,38.7
9795,92,278.0,253.6,24.4
9896,93,262.0,252.0,10.0
9999,94,186.0,244.2,-58.2
10101,95,202.0,245.7,-43.7
10204,96,216.0,247.0,-31.0
10306,97,226.0,247.9,-21.9
10407,98,281.0,253.3,27.7
10510,99,312.0,256.8,55.2
10612,100,292.0,254.9,37.1
10715,101,276.0,253.1,22.9
10817,102,243.0,249.6,-6.6
10919,103,180.0,241.4,-61.4
11021,104,206.0,243.4,-37.4
11123,105,221.0,245.3,-24.3
11226,106,229.0,246.6,-17.6
11328,107,304.0,254.4,49.6
11430,108,301.0,256.4,44.6
11533,109,284.0,253.6,30.4
11635,110,272.0,251.6,20.4
11737,111,211.0,245.1,-34.1
11839,112,194.0,240.2,-46.2
11941,113,212.0,243.4,-31.4
12044,114,225.0,245.3,-20.3
12146,115,259.0,249.1,9.9
12249,116,312.0,257.4,54.6
12351,117,296.0,256.6,39.4
12452,118,279.0,254.4,24.6
12555,119,268.0,252.8,15.2
12657,120,188.0,244.4,-56.4
12760,121,202.0,243.5,-41.5
12862,122,218.0,245.9,-27.9
12964,123,227.0,247.4,-20.4
13067,124,287.0,253.6,33.4
13168,125,311.0,258.8,52.2
13271,126,292.0,256.8,35.2
13373,127,276.0,254.8,21.2
13475,128,229.0,249.8,-20.8
13578,129,178.0,240.8,-62.8
13680,130,196.0,241.6,-45.6
13783,131,216.0,243.0,-27.0
13884,132,227.0,243.9,-16.9
13986,133,305.0,251.7,53.3
14089,134,298.0,252.8,45.2
14191,135,279.0,249.6,29.4
14294,136,268.0,247.2,20.8
14396,137,198.0,239.4,-41.4
14498,138,195.0,236.0,-41.0
14601,139,209.0,239.1,-30.1
14702,140,220.0,241.5,-21.5
14804,141,262.0,246.1,15.9
14907,142,304.0,253.8,50.2
15009,143,290.0,252.3,37.7
15112,144,272.0,249.7,22.3
15214,145,249.0,246.7,2.3
15315,146,179.0,237.8,-58.8
15418,147,201.0,238.1,-37.1
15520,148,214.0,240.0,-26.0
15623,149,222.0,241.3,-19.3
15725,150,286.0,247.9,38.1
15827,151,296.0,251.3,44.7
15930,152,281.0,249.0,32.0
16032,153,268.0,246.8,21.2
16134,154,218.0,241.4,-23.4
16236,155,187.0,235.2,-48.2
16338,156,202.0,237.5,-35.5
16441,157,217.0,239.1,-22.1
16543,158,237.0,241.4,-4.4
16646,159,304.0,249.6,54.4
16747,160,294.0,250.4,43.6
16849,161,277.0,248.5,28.5
16952,162,266.0,247.0,19.0
17054,163,189.0,239.1,-50.1
17157,164,190.0,236.3,-46.3
17259,165,208.0,238.4,-30.4
17361,166,219.0,240.1,-21.1
17464,167,267.0,245.1,21.9
17565,168,303.0,251.7,51.3
17668,169,289.0,250.2,38.8
17770,170,272.0,248.0,24.0
17872,171,245.0,244.8,0.2
17975,172,176.0,235.8,-59.8
18077,173,201.0,237.0,-36.0
18179,174,216.0,239.6,-23.6
18281,175,225.0,241.3,-16.3
18383,176,294.0,248.8,45.2
18486,177,298.0,251.9,46.1
18588,178,283.0,249.9,33.1
18691,179,270.0,248.0,22.0
18793,180,217.0,242.5,-25.5
18894,181,188.0,236.8,-48.8
18997,182,206.0,239.8,-33.8
19099,183,220.0,241.7,-21.7
19202,184,241.0,244.2,-3.2
19304,185,310.0,252.7,57.3
19406,186,295.0,252.8,42.2
19509,187,278.0,250.8,27.2
19610,188,268.0,249.3,18.7
19713,189,197.0,242.0,-45.0
19815,190,198.0,240.1,-42.1
19917,191,214.0,242.7,-28.7
20020,192,224.0,244.5,-20.5
20122,193,272.0,249.7,22.3
20225,194,308.0,256.4,51.6
20326,195,289.0,254.3,34.7
20428,196,274.0,252.2,21.8
20531,197,247.0,249.1,-2.1
20633,198,181.0,240.4,-59.4
20736,199,203.0,241.0,-38.0
20838,200,218.0,243.0,-25.0
20940,201,226.0,244.2,-18.2
21042,202,292.0,251.0,41.0
21144,203,300.0,253.8,46.2
21246,204,284.0,251.4,32.6
21349,205,272.0,249.7,22.3
21451,206,221.0,244.4,-23.4
21554,207,192.0,238.9,-46.9
